urban,name,non_ws_demos,ws_demos,usa_total_demos
not urban,Hispanic / Latinx,8087869,417950,8505819
not urban,NH-Native American and Alaska Native alone,964954,27329,992283
not urban,NH-Asian alone,770760,152787,923547
not urban,NH-Black or African American alone,3547305,247991,3795296
not urban,NH two or more races,2403204,147856,2551060
not urban,NH-Native Hawaiian and Pacific Islander,49953,7192,57145
not urban,NH-Other,202584,13698,216282
not urban,NH-White alone,49211747,3154982,52366729
not urban,Total Population,65238376,4169785,69408161
urban,Hispanic / Latinx,14656518,42256741,56913259
urban,NH-Native American and Alaska Native alone,409793,851175,1260968
urban,NH-Asian alone,4162711,14583520,18746231
urban,NH-Black or African American alone,10786588,25426568,36213156
urban,NH two or more races,3384260,7635819,11020079
urban,NH-Native Hawaiian and Pacific Islander,133022,432304,565326
urban,NH-Other,414375,1064326,1478701
urban,NH-White alone,45476346,94322131,139798477
urban,Total Population,79423613,186572584,265996197
